3005;PERONISTAS SI, PERSEGUIDOS NO (PSPN)              ;PERONISTAS SI, PERSEGUIDOS NO (PSPN)                                                                ;
3006;PROTECTORA                                        ;PROTECTORA                                                                                          ;
3007;ALTERNATIVA                                       ;ALTERNATIVA                                                                                         ;
3009;CELESTE Y BLANCA                                  ;CELESTE Y BLANCA                                                                                    ;
3011;DIGNIDAD CIUDADANA                                ;DIGNIDAD CIUDADANA                                                                                  ;
3012;FEDERALISMO PURO                                  ;FEDERALISMO PURO                                                                                    ;
3013;RECREO SOCIAL                                     ;RECREO SOCIAL                                                                                       ;
3014;ROJO PUNZO                                        ;ROJO PUNZO                                                                                          ;
3016;COHERENCIA                                        ;COHERENCIA                                                                                          ;
3017;NARANJA                                           ;NARANJA                                                                                             ;
3018;NARANJA                                           ;NARANJA                                                                                             ;
3019;BLANCA                                            ;BLANCA                                                                                              ;
3020;UNIDAD                                            ;UNIDAD                                                                                              ;
3022;FEDERALISMO Y CIUDADANIA                          ;FEDERALISMO Y CIUDADANIA                                                                            ;
3023;UNIR MI JUJUY                                     ;UNIR MI JUJUY                                                                                       ;
3024;UNIR PARA RENOVAR SANTA FE                        ;UNIR PARA RENOVAR SANTA FE                                                                          ;
3025;IZQUIERDA AL FRENTE                               ;IZQUIERDA AL FRENTE                                                                                 ;
3026;MST - NUEVA IZQUIERDA                             ;MST - NUEVA IZQUIERDA                                                                               ;
3027;UNIDAD                                            ;UNIDAD                                                                                              ;
3028;VAMOS POR UNA IZQUIERDA AL FRENTE                 ;VAMOS POR UNA IZQUIERDA AL FRENTE                                                                   ;
3029;LIBRES                                            ;LIBRES                                                                                              ;
3030;AGUA, TIERRA, ENERGIAS LIMPIAS - NO A LA PLANTA NU;AGUA, TIERRA, ENERGIAS LIMPIAS - NO A LA PLANTA NUCLEAR                                             ;
3031;ALFREDO BRAVO                                     ;ALFREDO BRAVO                                                                                       ;
3032;ENCUENTRO SOCIAL                                  ;ENCUENTRO SOCIAL                                                                                    ;
3033;SOCIALISTA                                        ;SOCIALISTA                                                                                          ;
3034;HACIA EL FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;HACIA EL FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                  ;
3035;UNIDOS POR SANTA FE                               ;UNIDOS POR SANTA FE                                                                                 ;
3036;UN SAN LUIS                                       ;UN SAN LUIS                                                                                         ;
3037;MARGARITA                                         ;MARGARITA                                                                                           ;
3038;FRENTE DE IZQUIERDA                               ;FRENTE DE IZQUIERDA                                                                                 ;
3039;FRENTE DE IZQUIERDA                               ;FRENTE DE IZQUIERDA                                                                                 ;
3040;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES         ;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;
3041;1 ROJA                                            ;1 ROJA                                                                                              ;
3042;FRENTE POPULAR                                    ;FRENTE POPULAR                                                                                      ;
3043;FRENTE SOLIDARIO Y POPULAR DE LOS TRABAJADORES    ;FRENTE SOLIDARIO Y POPULAR DE LOS TRABAJADORES                                                      ;
3044;AHORA EL PUEBLO                                   ;AHORA EL PUEBLO                                                                                     ;
3045;FRENTE POPULAR                                    ;FRENTE POPULAR                                                                                      ;
3046;PENSANDO COMO VOS                                 ;PENSANDO COMO VOS                                                                                   ;
3047;UNIDAD FEDERAL                                    ;UNIDAD FEDERAL                                                                                      ;
3048;AMARILLO Y NEGRO                                  ;AMARILLO Y NEGRO                                                                                    ;
3049;CELESTE Y UNIDAD                                  ;CELESTE Y UNIDAD                                                                                    ;
3050;COMPROMISO CON EL PUEBLO                          ;COMPROMISO CON EL PUEBLO                                                                            ;
3051;UNIDAD FEDERAL                                    ;UNIDAD FEDERAL                                                                                      ;
3052;CELESTE                                           ;CELESTE                                                                                             ;
3053;VERDE                                             ;VERDE                                                                                               ;
3054;MEJOR ES HACER                                    ;MEJOR ES HACER                                                                                      ;
3055;UNIDAD                                            ;UNIDAD                                                                                              ;
3056;LINEA VERDE MANZANA                               ;LINEA VERDE MANZANA                                                                                 ;
3057;PASION POR NEUQUEN                                ;PASION POR NEUQUEN                                                                                  ;
3058;1RO DE MAYO                                       ;1RO DE MAYO                                                                                         ;
